API14,Production Date,Oil Volume BBL,Gas Volume MCF,Water Volume BBL
42000000000000,2024-01-15,6000.000000,8400.000000,1320.000000
42000000000000,2024-02-15,5498.939850,7797.496707,1242.760406
42000000000000,2024-03-15,5065.761573,7274.433618,1175.256685
42000000000000,2024-04-15,4688.120411,6816.527078,1115.772658
42000000000000,2024-05-15,4356.430730,6412.666034,1062.969098
42000000000000,2024-06-15,4063.145571,6054.086901,1015.786393
42000000000000,2024-07-15,3802.248919,5733.791369,973.375723
42000000000000,2024-08-15,3568.891245,5446.128040,935.049506
42000000000000,2024-09-15,3359.123564,5186.486782,900.245115
42000000000000,2024-10-15,3169.700446,4951.072096,868.497922
42000000000000,2024-11-15,2997.932123,4736.732755,839.420995
42000000000000,2024-12-15,2841.572067,4540.832163,812.689611
42000000000000,2025-01-15,2698.730554,4361.148575,788.029322
42000000000000,2025-02-15,2567.807516,4195.797481,765.206640
42000000000000,2025-03-15,2447.439871,4043.170667,744.021721
42000000000000,2025-04-15,2336.459831,3901.887918,724.302548
42000000000000,2025-05-15,2233.861635,3770.758439,705.900277
42000000000000,2025-06-15,2138.774789,3648.749791,688.685482
42000000000000,2025-07-15,2050.442401,3534.962699,672.545107
42000000000000,2025-08-15,1968.203495,3428.610488,657.379967
42000000000000,2025-09-15,1891.478512,3329.002181,643.102694
42000000000000,2025-10-15,1819.757330,3235.528533,629.636036
42000000000000,2025-11-15,1752.589323,3147.650424,616.911442
42000000000000,2025-12-15,1689.575058,3064.889155,604.867871
42000000000001,2024-01-15,6250.000000,8750.000000,1375.000000
42000000000001,2024-02-15,5728.062344,8122.392403,1294.542090
42000000000001,2024-03-15,5276.834971,7577.535019,1224.225713
42000000000001,2024-04-15,4883.458762,7100.549040,1162.263185
42000000000001,2024-05-15,4537.948677,6679.860453,1107.259477
42000000000001,2024-06-15,4232.443303,6306.340522,1058.110826
42000000000001,2024-07-15,3960.675957,5972.699343,1013.933045
42000000000001,2024-08-15,3717.595047,5673.050041,974.009902
42000000000001,2024-09-15,3499.087045,5402.590398,937.755328
42000000000001,2024-10-15,3301.771298,5157.366767,904.685336
42000000000001,2024-11-15,3122.845962,4934.096620,874.396869
42000000000001,2024-12-15,2959.970903,4730.033504,846.551678
42000000000001,2025-01-15,2811.177660,4542.863099,820.863877
42000000000001,2025-02-15,2674.799496,4370.622376,797.090250
42000000000001,2025-03-15,2549.416533,4211.636112,775.022626
42000000000001,2025-04-15,2433.812324,4064.466582,754.481821
42000000000001,2025-05-15,2326.939203,3927.873374,735.312788
42000000000001,2025-06-15,2227.890406,3800.781032,717.380711
42000000000001,2025-07-15,2135.877501,3682.252811,700.567820
42000000000001,2025-08-15,2050.211974,3571.469258,684.770799
42000000000001,2025-09-15,1970.290117,3467.710605,669.898640
42000000000001,2025-10-15,1895.580552,3370.342222,655.870871
42000000000001,2025-11-15,1825.613878,3278.802525,642.616085
42000000000001,2025-12-15,1759.974019,3192.592870,630.070699
42000000000002,2024-01-15,6500.000000,9100.000000,1430.000000
42000000000002,2024-02-15,5957.184837,8447.288099,1346.323773
42000000000002,2024-03-15,5487.908370,7880.636420,1273.194742
42000000000002,2024-04-15,5078.797112,7384.571001,1208.753713
42000000000002,2024-05-15,4719.466624,6947.054871,1151.549856
42000000000002,2024-06-15,4401.741036,6558.594143,1100.435259
42000000000002,2024-07-15,4119.102995,6211.607317,1054.490367
42000000000002,2024-08-15,3866.298849,5899.972043,1012.970298
42000000000002,2024-09-15,3639.050527,5618.694014,975.265541
42000000000002,2024-10-15,3433.842150,5363.661438,940.872749
42000000000002,2024-11-15,3247.759800,5131.460485,909.372744
42000000000002,2024-12-15,3078.369739,4919.234844,880.413745
42000000000002,2025-01-15,2923.624766,4724.577623,853.698432
42000000000002,2025-02-15,2781.791476,4545.447271,828.973860
42000000000002,2025-03-15,2651.393194,4380.101556,806.023531
42000000000002,2025-04-15,2531.164817,4227.045245,784.661093
42000000000002,2025-05-15,2420.016771,4084.988309,764.725300
42000000000002,2025-06-15,2317.006022,3952.812273,746.075939
42000000000002,2025-07-15,2221.312601,3829.542924,728.590533
42000000000002,2025-08-15,2132.220453,3714.328029,712.161631
42000000000002,2025-09-15,2049.101721,3606.419029,696.694585
42000000000002,2025-10-15,1971.403775,3505.155911,682.105706
42000000000002,2025-11-15,1898.638433,3409.954626,668.320728
42000000000002,2025-12-15,1830.372980,3320.296585,655.273527
42000000000003,2024-01-15,6750.000000,9450.000000,1485.000000
42000000000003,2024-02-15,6186.307331,8772.183796,1398.105457
42000000000003,2024-03-15,5698.981769,8183.737820,1322.163770
42000000000003,2024-04-15,5274.135463,7668.592963,1255.244240
42000000000003,2024-05-15,4900.984571,7214.249289,1195.840235
42000000000003,2024-06-15,4571.038768,6810.847764,1142.759692
42000000000003,2024-07-15,4277.530034,6450.515291,1095.047689
42000000000003,2024-08-15,4015.002650,6126.894045,1051.930694
42000000000003,2024-10-15,3565.913002,5569.956109,977.060162
42000000000003,2024-11-15,3372.673639,5328.824350,944.348619
42000000000003,2024-12-15,3196.768576,5108.436184,914.275813
42000000000003,2025-01-15,3036.071873,4906.292147,886.532987
42000000000003,2025-02-15,2888.783456,4720.272166,860.857470
42000000000003,2025-03-15,2753.369855,4548.567001,837.024436
42000000000003,2025-04-15,2628.517310,4389.623908,814.840366
42000000000003,2025-05-15,2513.094339,4242.103244,794.137811
42000000000003,2025-06-15,2406.121638,4104.843514,774.771167
42000000000003,2025-07-15,2306.747701,3976.833036,756.613246
42000000000003,2025-08-15,2214.228932,3857.186799,739.552463
42000000000003,2025-09-15,2127.913326,3745.127454,723.490531
42000000000003,2025-10-15,2047.226997,3639.969600,708.340541
42000000000003,2025-11-15,1971.662988,3541.106727,694.025372
42000000000003,2025-12-15,1900.771940,3448.000300,680.476355
42000000000004,2024-01-15,7000.000000,9800.000000,1540.000000
42000000000004,2024-02-15,6415.429825,9097.079492,1449.887140
42000000000004,2024-03-15,5910.055168,8486.839221,1371.132799
42000000000004,2024-04-15,5469.473813,7952.614924,1301.734768
42000000000004,2024-05-15,5082.502518,7481.443707,1240.130614
42000000000004,2024-06-15,4740.336500,7063.101385,1185.084125
42000000000004,2024-07-15,4435.957072,6689.423264,1135.605010
42000000000004,2024-08-15,4163.706452,6353.816046,1090.891090
42000000000004,2024-09-15,3918.977491,6050.901246,1050.285968
42000000000004,2024-10-15,3697.983854,5776.250779,1013.247576
42000000000004,2024-11-15,3497.587477,5526.188214,979.324494
42000000000004,2024-12-15,3315.167412,5297.637524,948.137880
42000000000004,2025-01-15,3148.518979,5088.006671,919.367542
42000000000004,2025-02-15,2995.775435,4895.097061,892.741080
42000000000004,2025-03-15,2855.346516,4717.032445,868.025341
42000000000004,2025-04-15,2725.869803,4552.202571,845.019639
42000000000004,2025-05-15,2606.171907,4399.218179,823.550323
42000000000004,2025-06-15,2495.237254,4256.874756,803.466396
42000000000004,2025-07-15,2392.182801,4124.123149,784.635959
42000000000004,2025-08-15,2296.237411,4000.045569,766.943295
42000000000004,2025-09-15,2206.724931,3883.835878,750.286476
42000000000004,2025-10-15,2123.050219,3774.783289,734.575376
42000000000004,2025-11-15,2044.687543,3672.258828,719.730015
42000000000004,2025-12-15,1971.170901,3575.704014,705.679183
42000000000005,2024-01-15,7250.000000,10150.000000,1595.000000
42000000000005,2024-02-15,6644.552319,9421.975188,1501.668824
42000000000005,2024-03-15,6121.128567,8789.940622,1420.101828
42000000000005,2024-04-15,5664.812164,8236.636886,1348.225295
42000000000005,2024-05-15,5264.020465,7748.638125,1284.420994
42000000000005,2024-06-15,4909.634232,7315.355006,1227.408558
42000000000005,2024-07-15,4594.384110,6928.331238,1176.162332
42000000000005,2024-08-15,4312.410254,6580.738048,1129.851487
42000000000005,2024-09-15,4058.940973,6267.004862,1087.796181
42000000000005,2024-10-15,3830.054705,5982.545450,1049.434989
42000000000005,2024-11-15,543.375197,858.532812,152.145055
42000000000005,2024-12-15,3433.566248,5486.838864,981.999947
42000000000005,2025-01-15,3260.966086,5269.721194,952.202097
42000000000005,2025-02-15,3102.767415,5069.921957,924.624690
42000000000005,2025-03-15,2957.323178,4885.497890,899.026246
42000000000005,2025-04-15,2823.222296,4714.781235,875.198912
42000000000005,2025-05-15,2699.249475,4556.333114,852.962834
42000000000005,2025-06-15,2584.352870,4408.905997,832.161624
42000000000005,2025-07-15,2477.617901,4271.413261,812.658672
42000000000005,2025-08-15,2378.245890,4142.904340,794.334127
42000000000005,2025-09-15,2285.536535,4022.544302,777.082422
42000000000005,2025-10-15,2198.873441,3909.596978,760.810211
42000000000005,2025-11-15,2117.712098,3803.410929,745.434659
42000000000005,2025-12-15,2041.569862,3703.407729,730.882011
42000000000006,2024-01-15,7500.000000,10500.000000,1650.000000
42000000000006,2024-02-15,6873.674812,9746.870884,1553.450508
42000000000006,2024-03-15,6332.201966,9093.042023,1469.070856
42000000000006,2024-04-15,5860.150514,8520.658848,1394.715822
42000000000006,2024-05-15,5445.538412,8015.832543,1328.711373
42000000000006,2024-06-15,5078.931964,7567.608627,1269.732991
42000000000006,2024-07-15,4752.811148,7167.239212,1216.719654
42000000000006,2024-08-15,4461.114056,6807.660049,1168.811883
42000000000006,2024-09-15,4198.904455,6483.108478,1125.306394
42000000000006,2024-10-15,3962.125557,6188.840121,1085.622403
42000000000006,2024-11-15,3747.415154,5920.915944,1049.276243
42000000000006,2024-12-15,3551.965084,5676.040204,1015.862014
42000000000006,2025-01-15,3373.413192,5451.435718,985.036652
42000000000006,2025-02-15,3209.759395,5244.746852,956.508300
42000000000006,2025-03-15,3059.299839,5053.963334,930.027151
42000000000006,2025-04-15,2920.574789,4877.359898,905.378185
42000000000006,2025-05-15,2792.327043,4713.448049,882.375346
42000000000006,2025-06-15,2673.468487,4560.937238,860.856853
42000000000006,2025-07-15,2563.053001,4418.703374,840.681384
